ebn0_db,worker_id,frame_idx,legacy_success,legacy_detected_failure,success_exact,valid_codeword,undetected_error,stop_iteration,final_syndrome_weight,runtime_ms
8.0,46,26,0,1,0,0,0,12,124,29.186791041865945
8.0,46,27,0,1,0,0,0,12,120,29.036961030215025
8.0,46,28,0,1,0,0,0,12,147,29.112020041793585
8.0,46,29,1,0,1,1,0,7,0,17.33181718736887
8.0,46,30,0,1,0,0,0,12,127,28.841401915997267
8.0,46,31,0,1,0,0,0,12,119,29.05360097065568
8.0,46,32,0,1,0,0,0,12,137,29.112529940903187
8.0,46,33,0,1,0,0,0,12,126,29.007971053943038
8.0,46,34,1,0,1,1,0,4,0,10.348200798034668
8.0,46,35,1,0,1,1,0,7,0,17.25942688062787
8.0,46,36,1,0,1,1,0,4,0,10.314180050045252
8.0,46,37,0,1,0,0,0,12,128,29.135770862922072
8.0,46,38,0,1,0,0,0,12,110,32.060576137155294
8.0,46,39,0,1,0,0,0,12,112,29.71043810248375
8.0,46,40,1,0,1,1,0,6,0,15.034007839858532
8.0,46,41,0,1,0,0,0,12,132,29.127690009772778
8.0,46,42,0,1,0,0,0,12,121,29.21336004510522
8.0,46,43,0,1,0,0,0,12,134,29.48664897121489
8.0,46,44,1,0,1,1,0,4,0,10.586169082671404
8.0,46,45,0,1,0,0,0,12,126,28.94050208851695
8.0,46,46,0,1,0,0,0,12,123,29.030601028352976
8.0,46,47,1,0,1,1,0,5,0,12.694688979536295
8.0,46,48,0,1,0,0,0,12,139,28.807411901652813
8.0,46,49,0,1,0,0,0,12,123,28.96222099661827
8.0,46,50,0,1,0,0,0,12,129,29.020931106060743
8.0,46,51,1,0,1,1,0,4,0,10.295851156115532
8.0,46,52,0,1,0,0,0,12,136,28.891701018437743
8.0,46,53,1,0,1,1,0,5,0,12.682468863204122
8.0,46,54,1,0,1,1,0,4,0,10.193650843575597
8.0,46,55,0,1,0,0,0,12,132,29.111220967024565
8.0,46,56,0,1,0,0,0,12,123,29.001171002164483
8.0,46,57,1,0,1,1,0,5,0,12.7257090061903
8.0,46,58,1,0,1,1,0,6,0,15.002378029748797
8.0,46,59,0,1,0,0,0,12,147,28.973610838875175
8.0,46,60,0,1,0,0,0,12,128,29.81495694257319
8.0,46,61,0,1,0,0,0,12,118,29.1167211253196
8.0,46,62,1,0,1,1,0,8,0,19.643195904791355
8.0,46,63,0,1,0,0,0,12,135,29.117099940776825
8.0,19,0,1,0,1,1,0,4,0,33.96758693270385
8.0,19,1,0,1,0,0,0,12,139,29.748687986284494
8.0,19,2,0,1,0,0,0,12,134,29.377678874880075
8.0,19,3,0,1,0,0,0,12,117,28.993081068620086
8.0,19,4,0,1,0,0,0,12,134,29.02481099590659
8.0,19,5,0,1,0,0,0,12,124,29.118710197508335
8.0,19,6,0,1,0,0,0,12,132,29.184530954807997
8.0,19,7,0,1,0,0,0,12,122,29.135029995813966
8.0,19,8,1,0,1,1,0,10,0,24.087435100227594
8.0,19,9,0,1,0,0,0,12,132,29.07322091050446
8.0,19,10,0,1,0,0,0,12,126,29.327919939532876
8.0,19,11,1,0,1,1,0,3,0,8.150561014190316
8.0,19,12,0,1,0,0,0,12,128,29.03655101545155
8.0,19,13,1,0,1,1,0,5,0,12.637709965929389
8.0,19,14,1,0,1,1,0,6,0,14.932347927242517
8.0,19,15,1,0,1,1,0,3,0,7.976021850481629
8.0,19,16,0,1,0,0,0,12,128,28.87155208736658
8.0,19,17,0,1,0,0,0,12,123,29.112119926139712
8.0,19,18,1,0,1,1,0,4,0,10.312571190297604
8.0,19,19,1,0,1,1,0,3,0,8.018360938876867
8.0,19,20,1,0,1,1,0,3,0,8.000222034752369
8.0,19,21,1,0,1,1,0,6,0,14.927078038454056
8.0,19,22,0,1,0,0,0,12,131,28.84707204066217
8.0,19,23,1,0,1,1,0,4,0,10.333921061828732
8.0,19,24,1,0,1,1,0,5,0,12.629409087821841
8.0,19,25,1,0,1,1,0,10,0,24.454213213175535
8.0,19,26,0,1,0,0,0,12,144,29.099890030920506
8.0,19,27,0,1,0,0,0,12,130,29.03410093858838
8.0,19,28,0,1,0,0,0,12,140,29.046711046248674
8.0,19,29,1,0,1,1,0,6,0,15.006338013336062
8.0,19,30,0,1,0,0,0,12,139,28.813331853598356
8.0,19,31,0,1,0,0,0,12,128,29.134630924090743
8.0,19,32,0,1,0,0,0,12,117,29.11579003557563
8.0,19,33,1,0,1,1,0,10,0,24.388493038713932
8.0,19,34,1,0,1,1,0,3,0,8.019372122362256
8.0,19,35,0,1,0,0,0,12,141,28.914351016283035
8.0,19,36,0,1,0,0,0,12,127,29.011411126703024
8.0,19,37,1,0,1,1,0,4,0,10.32356102950871
8.0,19,38,0,1,0,0,0,12,108,28.901150915771723
8.0,19,39,0,1,0,0,0,12,125,28.53421401232481
8.0,19,40,1,0,1,1,0,6,0,16.745169181376696
8.0,19,41,1,0,1,1,0,5,0,12.829318875446916
8.0,19,42,0,1,0,0,0,12,128,28.99319096468389
8.0,19,43,0,1,0,0,0,12,130,29.005201067775488
8.0,19,44,0,1,0,0,0,12,124,29.087631031870842
8.0,19,45,1,0,1,1,0,9,0,22.19810290262103
8.0,19,46,1,0,1,1,0,4,0,10.44437987729907
8.0,19,47,1,0,1,1,0,3,0,8.149400819092989
8.0,19,48,0,1,0,0,0,12,127,28.932451037690043
8.0,19,49,0,1,0,0,0,12,134,28.68591295555234
8.0,19,50,0,1,0,0,0,12,123,29.044141061604023
8.0,19,51,0,1,0,0,0,12,136,28.917080955579877
8.0,19,52,0,1,0,0,0,12,123,29.109931085258722
8.0,19,53,0,1,0,0,0,12,145,29.16406001895666
8.0,19,54,0,1,0,0,0,12,122,29.194140108302236
8.0,19,55,0,1,0,0,0,12,124,29.098820872604847
8.0,19,56,0,1,0,0,0,12,117,29.038720997050405
8.0,19,57,0,1,0,0,0,12,133,29.144739964976907
8.0,19,58,1,0,1,1,0,3,0,8.010861929506063
8.0,19,59,0,1,0,0,0,12,124,29.115680139511824
8.0,19,60,0,1,0,0,0,12,141,29.09295097924769
8.0,19,61,0,1,0,0,0,12,127,29.11688992753625
8.0,19,62,0,1,0,0,0,12,127,28.936112066730857
8.0,19,63,0,1,0,0,0,12,123,29.022030998021364
8.0,30,0,1,0,1,1,0,4,0,52.00696107931435
8.0,30,1,1,0,1,1,0,4,0,10.707288049161434
8.0,30,2,1,0,1,1,0,3,0,8.201820775866508
8.0,30,3,0,1,0,0,0,12,130,29.185849940404296
8.0,30,4,0,1,0,0,0,12,127,29.399699065834284
8.0,30,5,1,0,1,1,0,7,0,17.548526171594858
8.0,30,6,0,1,0,0,0,12,127,29.195660026744008
8.0,30,7,0,1,0,0,0,12,118,29.216960072517395
8.0,30,8,0,1,0,0,0,12,121,29.33034999296069
8.0,30,9,0,1,0,0,0,12,132,29.093960067257285
8.0,30,10,0,1,0,0,0,12,135,29.441548977047205
8.0,30,11,0,1,0,0,0,12,130,29.16219993494451
8.0,30,12,1,0,1,1,0,7,0,17.460316885262728
8.0,30,13,0,1,0,0,0,12,137,29.142710147425532
8.0,30,14,0,1,0,0,0,12,130,29.182719998061657
8.0,30,15,0,1,0,0,0,12,126,29.141240986064076
8.0,30,16,0,1,0,0,0,12,128,29.16328003630042
8.0,30,17,1,0,1,1,0,9,0,22.110743913799524
8.0,30,18,1,0,1,1,0,8,0,19.909354858100414
8.0,30,19,1,0,1,1,0,7,0,17.462436109781265
8.0,30,20,1,0,1,1,0,8,0,19.87804495729506
8.0,30,21,1,0,1,1,0,3,0,8.086221059784293
8.0,30,22,0,1,0,0,0,12,116,29.4078488368541
8.0,30,23,1,0,1,1,0,3,0,8.071970893070102
8.0,30,24,1,0,1,1,0,5,0,12.87278812378645
8.0,30,25,0,1,0,0,0,12,130,29.084631009027362
8.0,30,26,0,1,0,0,0,12,128,29.144450090825558
8.0,30,27,0,1,0,0,0,12,132,29.121491126716137
8.0,30,28,0,1,0,0,0,12,141,29.31249886751175
8.0,30,29,0,1,0,0,0,12,115,29.298119945451617
8.0,30,30,0,1,0,0,0,12,126,29.192150104790926
